bin	sign
10244	-1
10247	-1
10253	-1
10258	-1
10263	-1
10273	-1
10279	-1
10285	-1
10302	-1
10307	-1
10310	-1
10313	-1
10316	-1
10324	-1
10331	-1
10334	-1
10341	-1
10346	-1
10356	-1
10360	-1
10369	-1
10372	-1
10375	-1
10378	-1
10381	-1
10384	-1
10398	-1
10402	-1
10406	-1
10409	-1
10414	-1
10424	-1
10434	-1
10437	-1
10440	-1
10446	-1
10455	-1
10459	-1
10462	-1
10470	-1
10476	-1
10481	-1
10484	-1
10495	-1
10500	-1
10504	-1
10510	-1
10513	-1
10516	-1
10519	-1
10522	-1
10527	-1
10533	-1
10536	-1
10539	-1
10543	-1
10546	-1
10549	-1
10552	-1
10556	-1
10570	-1
10573	-1
10576	-1
10580	-1
10583	-1
10594	-1
10597	-1
10601	-1
10608	-1
10616	-1
10621	-1
10628	-1
10632	-1
10635	-1
10638	-1
10641	-1
10646	-1
10649	-1
10652	-1
10656	-1
10663	-1
10667	-1
10670	-1
10673	-1
10676	-1
10679	-1
10685	-1
10688	-1
10691	-1
10694	-1
10700	-1
10707	-1
10710	-1
10713	-1
10717	-1
10721	-1
10724	-1
10727	-1
10734	-1
10744	-1
10747	-1
10752	-1
10755	-1
10760	-1
10769	-1
10774	-1
10777	-1
10781	-1
10784	-1
10787	-1
10790	-1
10794	-1
10798	-1
10801	-1
10806	-1
10810	-1
10813	-1
10817	-1
10824	-1
10827	-1
10830	-1
10833	-1
10836	-1
10839	-1
10848	-1
10854	-1
10858	-1
10865	-1
10868	-1
10873	-1
10882	-1
10885	-1
10890	-1
10894	-1
10897	-1
10900	-1
10904	-1
10910	-1
10913	-1
10916	-1
10928	-1
10939	-1
10944	-1
10950	-1
10953	-1
10959	-1
10962	-1
10966	-1
10970	-1
10974	-1
10980	-1
10983	-1
10987	-1
10994	-1
10997	-1
11002	-1
11005	-1
11008	-1
11011	-1
11014	-1
11018	-1
11022	-1
11026	-1
11029	-1
11032	-1
11036	-1
11041	-1
11044	-1
11047	-1
11053	-1
11056	-1
11060	-1
11079	-1
11087	-1
11092	-1
11095	-1
11098	-1
11101	-1
11104	-1
11108	-1
11117	-1
11121	-1
11124	-1
11127	-1
11132	-1
11135	-1
11138	-1
11141	-1
11144	-1
11148	-1
11152	-1
11162	-1
11165	-1
11169	-1
11172	-1
11183	-1
11190	-1
11193	-1
11198	-1
11201	-1
11212	-1
11215	-1
11218	-1
11221	-1
11224	-1
11228	-1
11232	-1
11236	-1
11240	-1
11244	-1
11249	-1
11252	-1
11256	-1
11260	-1
11263	-1
11266	-1
11270	-1
11273	-1
11277	-1
11280	-1
11284	-1
11291	-1
11296	-1
11300	-1
11306	-1
11310	-1
11313	-1
11317	-1
11321	-1
11324	-1
11327	-1
11330	-1
11336	-1
11349	-1
11359	-1
11366	-1
11373	-1
11378	-1
11381	-1
11384	-1
11387	-1
11390	-1
11393	-1
11396	-1
11400	-1
11405	-1
11411	-1
11416	-1
11419	-1
11422	-1
11426	-1
11429	-1
11433	-1
11439	-1
11442	-1
11447	-1
11453	-1
11465	-1
11468	-1
11471	-1
11474	-1
11496	-1
11499	-1
11506	-1
11510	-1
11519	-1
11524	-1
11531	-1
11538	-1
11542	-1
11547	-1
11598	-1
11601	-1
11618	-1
11627	-1
11635	-1
11641	-1
11645	-1
11672	-1
11677	-1
11683	-1
11694	-1
11699	-1
11709	-1
11712	-1
11716	-1
11720	-1
11724	-1
11727	-1
11736	-1
11739	-1
11743	-1
11746	-1
11750	-1
11754	-1
11759	-1
11765	-1
11769	-1
11781	-1
11784	-1
11787	-1
11794	-1
11797	-1
11801	-1
11805	-1
11808	-1
11812	-1
11815	-1
11818	-1
11824	-1
11832	-1
11839	-1
11845	-1
11850	-1
11854	-1
11857	-1
11861	-1
11864	-1
11869	-1
11872	-1
11876	-1
11888	-1
